gene,pval
ofav43965,-7.438086484
ofav39923,-6.469170269
ofav46740,-5.510424669
ofav6787,-4.711329259
ofav34835,-4.411773919
ofav46698,-4.297164246
ofav45456,-4.097853515
ofav43056,-4.04302754
ofav74704,-3.916731498
ofav44901,-3.859469693
ofav46114,-3.826565566
ofav31802,-3.818055253
ofav42039,-3.784533044
ofav11560,-3.706980456
ofav45219,-3.605309383
ofav45334,-3.540603024
ofav46743,-3.451592904
ofav34156,-3.417077312
ofav46267,-3.410474746
ofav42305,-3.324703334
ofav46056,-3.318213333
ofav44193,-3.292174048
ofav46490,-3.23815087
ofav36931,-3.163556866
ofav37294,-3.130297337
ofav43350,-3.124003395
ofav46258,-3.046950456
ofav46322,-3.03892208
ofav45281,-3.016335727
ofav46619,-3.006070442
ofav11857,-2.886389988
ofav45713,-2.868172348
ofav63067,-2.805126689
ofav37940,-2.791597356
ofav78949,-2.786393236
ofav45791,-2.779914283
ofav13714,-2.775538321
ofav52488,-2.755537302
ofav46563,-2.734831493
ofav43670,-2.711490824
ofav38165,-2.685729645
ofav8026,-2.649456826
ofav36897,-2.648663378
ofav24421,-2.6426089
ofav36940,-2.596146287
ofav78893,-2.584149481
ofav66825,-2.557453715
ofav13839,-2.550558324
ofav43659,-2.545197986
ofav46745,-2.543234068
ofav44403,-2.536206059
ofav45305,-2.487166939
ofav43466,-2.474951567
ofav5911,-2.452671198
ofav53503,-2.448142947
ofav43529,-2.431663497
ofav43495,-2.424111577
ofav40023,-2.415062846
ofav46641,-2.411243257
ofav44549,-2.403585142
ofav105414,-2.400417257
ofav46773,-2.396873953
ofav90139,-2.370376921
ofav46549,-2.368459123
ofav34677,-2.363390467
ofav45913,-2.363081012
ofav39962,-2.34860562
ofav46482,-2.347376934
ofav45699,-2.345385865
ofav46725,-2.343304538
ofav40265,-2.343006392
ofav77200,-2.300241971
ofav60788,-2.295427387
ofav76622,-2.29271136
ofav32791,-2.27766169
ofav71953,-2.270492231
ofav80673,-2.269796209
ofav59821,-2.257207465
ofav126675,-2.252935292
ofav55589,-2.250865896
ofav32181,-2.244205847
ofav43797,-2.226077287
ofav43245,-2.21206537
ofav37609,-2.210264056
ofav74409,-2.20791405
ofav43295,-2.175751703
ofav44145,-2.173153909
ofav35665,-2.158504998
ofav37356,-2.154181916
ofav78184,-2.154128872
ofav35724,-2.14963912
ofav12680,-2.125327495
ofav42118,-2.09944486
ofav45491,-2.095623744
ofav32977,-2.089176576
ofav62432,-2.077734406
ofav10118,-2.057446357
ofav47733,-2.026588802
ofav6522,-2.022299967
ofav54150,-2.017382766
ofav41636,-2.016678048
ofav40133,-1.994368239
ofav46096,-1.993949227
ofav39182,-1.980938414
ofav38566,-1.96708468
ofav45229,-1.964652771
ofav2486,-1.961029498
ofav58622,-1.955454507
ofav62665,-1.954046089
ofav57878,-1.952543814
ofav44566,-1.949666747
ofav41834,-1.943681045
ofav51752,-1.93655022
ofav32324,-1.936242961
ofav36534,-1.926404291
ofav13271,-1.925596381
ofav68616,-1.921316243
ofav42632,-1.919782361
ofav42100,-1.912722727
ofav78296,-1.908581448
ofav37945,-1.89578049
ofav45772,-1.893817301
ofav46833,-1.891556215
ofav28847,-1.889499267
ofav21363,-1.886594804
ofav21015,-1.881366176
ofav71399,-1.878344419
ofav44041,-1.874994402
ofav40796,-1.874434877
ofav22628,-1.863889644
ofav45923,-1.863655042
ofav124047,-1.851927748
ofav22676,-1.849030407
