name	term	lev	seq	value
"preribosome"	GO:0030684	2	ofav71359	-0.815000158
"preribosome"	GO:0030684	2	ofav129384	-0.352974969
"preribosome"	GO:0030684	2	ofav109349	-0.76158064
"preribosome"	GO:0030684	2	ofav92382	-0.792776857
"preribosome"	GO:0030684	2	ofav5558	0.100448695
"preribosome"	GO:0030684	2	ofav31763	0.026349822
"preribosome"	GO:0030684	2	ofav69967	0.13267556
"preribosome"	GO:0030684	2	ofav67894	-0.496348917
"preribosome"	GO:0030684	2	ofav58490	0.012144032
"preribosome"	GO:0030684	2	ofav31182	-0.13453797
"preribosome"	GO:0030684	2	ofav159223	0.053198774
"preribosome"	GO:0030684	2	ofav69831	-0.736333425
"preribosome"	GO:0030684	2	ofav90372	-0.321389423
"preribosome"	GO:0030684	2	ofav43765	-0.473540372
"preribosome"	GO:0030684	2	ofav143681	0.247558502
"preribosome"	GO:0030684	2	ofav130039	-0.887376028
"preribosome"	GO:0030684	2	ofav116152	-0.030701593
"preribosome"	GO:0030684	2	ofav59269	-0.22155814
"preribosome"	GO:0030684	2	ofav41000	-0.313290389
"preribosome"	GO:0030684	2	ofav140138	0.034622249
"preribosome"	GO:0030684	2	ofav42032	0.125107258
"preribosome"	GO:0030684	2	ofav76622	-2.29271136
"preribosome"	GO:0030684	2	ofav32760	-0.00137501
"cell-cell contact zone"	GO:0044291	2	ofav37586	0.40870512
"cell-cell contact zone"	GO:0044291	2	ofav32977	-2.089176576
"cell-cell contact zone"	GO:0044291	2	ofav45739	-0.34046949
"cell-cell contact zone"	GO:0044291	2	ofav36334	-0.045545519
"cell-cell contact zone"	GO:0044291	2	ofav45070	0.151083179
"cell-cell contact zone"	GO:0044291	2	ofav37765	-0.155665392
"cell-cell contact zone"	GO:0044291	2	ofav44832	-0.206750091
"cell-cell contact zone"	GO:0044291	2	ofav45477	0.202373574
"cell-cell contact zone"	GO:0044291	2	ofav43019	-1.783812763
"STAGA complex"	GO:0030914	2	ofav26750	-0.154036805
"STAGA complex"	GO:0030914	2	ofav28612	-0.368049998
"STAGA complex"	GO:0030914	2	ofav18645	-0.01599826
"STAGA complex"	GO:0030914	2	ofav36570	-0.201187349
"STAGA complex"	GO:0030914	2	ofav8170	-0.076965033
"STAGA complex"	GO:0030914	2	ofav36114	0.240577178
"STAGA complex"	GO:0030914	2	ofav33410	-1.385869943
"oxidoreductase complex"	GO:1990204	2	ofav38233	0.076443203
"oxidoreductase complex"	GO:1990204	2	ofav10799	0.009428014
"oxidoreductase complex"	GO:1990204	2	ofav36396	-0.208260299
"oxidoreductase complex"	GO:1990204	2	ofav46129	0.216149963
"oxidoreductase complex"	GO:1990204	2	ofav43464	0.823666721
"oxidoreductase complex"	GO:1990204	2	ofav11578	0.144013805
"oxidoreductase complex"	GO:1990204	2	ofav45485	-0.008624402
"oxidoreductase complex"	GO:1990204	2	ofav43674	0.077777062
"oxidoreductase complex"	GO:1990204	2	ofav36435	0.649499712
"oxidoreductase complex"	GO:1990204	2	ofav32261	-0.247692099
"oxidoreductase complex"	GO:1990204	2	ofav40453	0.004632331
"oxidoreductase complex"	GO:1990204	2	ofav41811	0.126430277
"oxidoreductase complex"	GO:1990204	2	ofav27076	1.045098392
"oxidoreductase complex"	GO:1990204	2	ofav43278	0.452668366
"oxidoreductase complex"	GO:1990204	2	ofav45592	0.706080147
"oxidoreductase complex"	GO:1990204	2	ofav25458	0.80298682
"oxidoreductase complex"	GO:1990204	2	ofav45243	-0.047787864
"oxidoreductase complex"	GO:1990204	2	ofav46498	0.465826018
"oxidoreductase complex"	GO:1990204	2	ofav34633	0.686472986
"oxidoreductase complex"	GO:1990204	2	ofav64916	0.676495695
"oxidoreductase complex"	GO:1990204	2	ofav41575	0.811622711
"oxidoreductase complex"	GO:1990204	2	ofav41865	0.842798792
"oxidoreductase complex"	GO:1990204	2	ofav41291	0.388286438
"oxidoreductase complex"	GO:1990204	2	ofav41506	0.52938293
"oxidoreductase complex"	GO:1990204	2	ofav44983	0.16681234
"oxidoreductase complex"	GO:1990204	2	ofav35302	0.22584215
"oxidoreductase complex"	GO:1990204	2	ofav63906	-0.413167854
"oxidoreductase complex"	GO:1990204	2	ofav7169	0.105136651
"oxidoreductase complex"	GO:1990204	2	ofav38089	0.31503164
"oxidoreductase complex"	GO:1990204	2	ofav44039	0.593640416
"oxidoreductase complex"	GO:1990204	2	ofav13052	-0.079715922
"oxidoreductase complex"	GO:1990204	2	ofav35725	-0.105678562
"oxidoreductase complex"	GO:1990204	2	ofav43305	-0.094980378
"oxidoreductase complex"	GO:1990204	2	ofav62328	0.147608389
"oxidoreductase complex"	GO:1990204	2	ofav44030	-0.112924718
"oxidoreductase complex"	GO:1990204	2	ofav12059	0.144401749
"oxidoreductase complex"	GO:1990204	2	ofav30067	0.01308457
"oxidoreductase complex"	GO:1990204	2	ofav44574	-1.09500604
"oxidoreductase complex"	GO:1990204	2	ofav13029	0.358375781
"oxidoreductase complex"	GO:1990204	2	ofav39626	0.672601876
"actin filament bundle"	GO:0001725;GO:0032432	2	ofav134407	-0.079078025
"actin filament bundle"	GO:0001725;GO:0032432	2	ofav45678	0.789810019
"actin filament bundle"	GO:0001725;GO:0032432	2	ofav11955	-0.128623602
"actin filament bundle"	GO:0001725;GO:0032432	2	ofav36401	0.216870384
"actin filament bundle"	GO:0001725;GO:0032432	2	ofav46399	-0.061491854
"actin filament bundle"	GO:0001725;GO:0032432	2	ofav32977	-2.089176576
