name	term	lev	seq	value
"phosphatidylinositol phospholipase C activity"	GO:0004435;GO:0004629	3	ofav41503	0.099756264
"phosphatidylinositol phospholipase C activity"	GO:0004435;GO:0004629	3	ofav51922	-0.281347051
"phosphatidylinositol phospholipase C activity"	GO:0004435;GO:0004629	3	ofav57330	-0.05710974
"phosphatidylinositol phospholipase C activity"	GO:0004435;GO:0004629	3	ofav9002	-0.898941076
"phosphatidylinositol phospholipase C activity"	GO:0004435;GO:0004629	3	ofav20434	-0.166762046
"phosphatidylinositol phospholipase C activity"	GO:0004435;GO:0004629	3	ofav40496	0.182977943
"phosphatidylinositol phospholipase C activity"	GO:0004435;GO:0004629	3	ofav82662	0.039639489
"phosphatidylinositol phospholipase C activity"	GO:0004435;GO:0004629	3	ofav25256	-0.003994793
"translation initiation factor activity"	GO:0003743	3	ofav15642	-0.451030073
"translation initiation factor activity"	GO:0003743	3	ofav125226	-0.68979394
"translation initiation factor activity"	GO:0003743	3	ofav34906	-0.244426102
"translation initiation factor activity"	GO:0003743	3	ofav42060	-0.595695156
"translation initiation factor activity"	GO:0003743	3	ofav40747	0.327767593
"translation initiation factor activity"	GO:0003743	3	ofav94903	0.173276516
"translation initiation factor activity"	GO:0003743	3	ofav3177	0.035910489
"translation initiation factor activity"	GO:0003743	3	ofav71894	-0.014385129
"translation initiation factor activity"	GO:0003743	3	ofav37396	-0.275049038
"translation initiation factor activity"	GO:0003743	3	ofav70437	-0.164558955
"translation initiation factor activity"	GO:0003743	3	ofav56160	0.052558424
"translation initiation factor activity"	GO:0003743	3	ofav38007	-0.23874436
"translation initiation factor activity"	GO:0003743	3	ofav45759	-0.370576123
"translation initiation factor activity"	GO:0003743	3	ofav45324	0.330756716
"translation initiation factor activity"	GO:0003743	3	ofav66728	0.071846963
"translation initiation factor activity"	GO:0003743	3	ofav6668	-0.473601312
"translation initiation factor activity"	GO:0003743	3	ofav43833	-0.132848068
"translation initiation factor activity"	GO:0003743	3	ofav46383	0.239329307
"translation initiation factor activity"	GO:0003743	3	ofav44424	-0.500587238
"translation initiation factor activity"	GO:0003743	3	ofav82428	0.1327937
"translation initiation factor activity"	GO:0003743	3	ofav45446	-0.56468815
"translation initiation factor activity"	GO:0003743	3	ofav45636	0.203157331
"translation initiation factor activity"	GO:0003743	3	ofav8115	-0.396658388
"translation initiation factor activity"	GO:0003743	3	ofav31439	0.283625702
"translation initiation factor activity"	GO:0003743	3	ofav5684	-0.14938071
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	ofav32978	0.123504548
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	ofav44500	0.01988517
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	ofav26735	-0.033312053
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	ofav48725	0.498894795
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	ofav54175	-0.232602127
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	ofav36863	-0.29460806
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	ofav41627	0.901200916
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	ofav36460	0.09613174
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	ofav42008	0.381403939
"signal sequence binding"	GO:0005048	4	ofav30212	-1.272350242
"signal sequence binding"	GO:0005048	4	ofav54426	0.460476618
"signal sequence binding"	GO:0005048	4	ofav32049	-0.05031228
"signal sequence binding"	GO:0005048	4	ofav92522	0.02929871
"signal sequence binding"	GO:0005048	4	ofav41288	0.008291694
"signal sequence binding"	GO:0005048	4	ofav45747	-0.172546196
"signal sequence binding"	GO:0005048	4	ofav37832	0.039904799
"signal sequence binding"	GO:0005048	4	ofav44055	-0.254024891
"signal sequence binding"	GO:0005048	4	ofav23312	0.169958735
"signal sequence binding"	GO:0005048	4	ofav19827	0.032848507
"signal sequence binding"	GO:0005048	4	ofav30062	-0.083520088
"signal sequence binding"	GO:0005048	4	ofav36914	0.168895789
"signal sequence binding"	GO:0005048	4	ofav60832	-0.125385786
"signal sequence binding"	GO:0005048	4	ofav6847	0.21584107
"signal sequence binding"	GO:0005048	4	ofav46431	-0.003750776
"signal sequence binding"	GO:0005048	4	ofav153745	-0.107185246
"signal sequence binding"	GO:0005048	4	ofav103830	-0.008397361
"signal sequence binding"	GO:0005048	4	ofav38548	0.112617202
"signal sequence binding"	GO:0005048	4	ofav44539	0.251993466
"signal sequence binding"	GO:0005048	4	ofav41078	0.051446822
"collagen binding"	GO:0005518	4	ofav43743	0.535970383
"collagen binding"	GO:0005518	4	ofav37315	0.407425731
"collagen binding"	GO:0005518	4	ofav21251	0.166364712
"collagen binding"	GO:0005518	4	ofav52008	0.125026941
"collagen binding"	GO:0005518	4	ofav10649	0.329879749
"collagen binding"	GO:0005518	4	ofav46426	0.086240202
"collagen binding"	GO:0005518	4	ofav46661	0.333743929
"collagen binding"	GO:0005518	4	ofav43051	-0.329897173
"collagen binding"	GO:0005518	4	ofav43692	-0.500711259
"collagen binding"	GO:0005518	4	ofav45627	-1.271029799
"collagen binding"	GO:0005518	4	ofav31155	-0.097147024
"collagen binding"	GO:0005518	4	ofav42554	-0.080358689
