"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-23 0.946771617453285 4 8 "GO:0000018" "regulation of DNA recombination" 0.993661982116074
221 0.367062401779681 2 16 "GO:0000041" "transition metal ion transport" 0.873533653183478
-475 0.233664405526618 4 6 "GO:0000042;GO:0000301;GO:0072600" "retrograde transport, vesicle recycling within Golgi" 0.845714396776985
-448 0.128638465005325 3 11 "GO:0000045" "autophagic vacuole assembly" 0.740165937107562
45 0.896793391464007 3 8 "GO:0000060" "protein import into nucleus, translocation" 0.993661982116074
-380 0.120020052279382 5 16 "GO:0000077;GO:0031570" "DNA damage checkpoint" 0.736270644849516
-101 0.719281162713898 2 12 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.954034077547447
1 0.997919159001156 2 14 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.998809363424886
-109 0.687853896763542 2 13 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.944950510610809
284 0.33567661282471 6 11 "GO:0000096" "sulfur amino acid metabolic process" 0.867397406725244
1018 0.0197222885379476 3 5 "GO:0000097" "sulfur amino acid biosynthetic process" 0.512066845093043
-87 0.299201934299448 2 142 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.864444033756912
173 0.222335075984362 2 48 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.827396203165685
192 0.478165758911991 8 13 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.909651328525392
36 0.922606493413535 4 7 "GO:0000186" "activation of MAPKK activity" 0.993661982116074
354 0.0901711259163243 2 22 "GO:0000187" "activation of MAPK activity" 0.680814328226133
-856 0.0203729778707758 3 7 "GO:0000189;GO:0031990;GO:0046832;GO:0032240;GO:0046827;GO:0010965;GO:1901673;GO:0060236;GO:0090169;GO:0090224" "mRNA export from nucleus in response to heat stress" 0.512066845093043
-110 0.441701023646035 2 47 "GO:0000209" "protein polyubiquitination" 0.897805341541397
-15 0.892833923446464 3 84 "GO:0000226" "microtubule cytoskeleton organization" 0.993661982116074
-367 0.356706935121026 2 6 "GO:0000266" "mitochondrial fission" 0.867397406725244
-218 0.439910297875728 2 12 "GO:0000278" "mitotic cell cycle" 0.896520554056288
-226 0.0245373741331261 2 97 "GO:0000280;GO:0048285" "organelle fission" 0.512066845093043
-174 0.520944133111656 5 13 "GO:0000281" "mitotic cytokinesis" 0.909651328525392
-208 0.601903170952619 3 6 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.924002587080536
297 0.495863728868729 4 5 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.909651328525392
-242 0.269581477398227 8 20 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.850414194145626
-329 0.00797135893304299 3 63 "GO:0000398;GO:0000377;GO:0000375" "mRNA splicing, via spliceosome" 0.399838686434907
-260 0.399835779344377 5 10 "GO:0000422" "mitochondrion degradation" 0.877892457235151
