"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-241 0.316735074571973 5 20 "GO:0000118" "histone deacetylase complex" 0.654002922705007
-144 0.397817786237604 3 40 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.71354618801348
-412 0.391184930402297 2 5 "GO:0000124" "SAGA complex" 0.707262354167353
-697 0.11263678150883 2 6 "GO:0000125" "PCAF complex" 0.442711523843401
63 0.3907976806765 3 226 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.707262354167353
-2 0.995401101032993 2 8 "GO:0000145" "exocyst" 0.997608198817988
-323 0.0164153920287145 2 65 "GO:0000151" "ubiquitin ligase complex" 0.215099989569527
-182 0.631660105028853 2 8 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.836054654185498
960 0.0458837554988647 3 5 "GO:0000164" "protein phosphatase type 1 complex" 0.339991106319456
-66 0.890692115701951 2 5 "GO:0000178" "exosome (RNase complex)" 0.95337368055319
-295 0.162793880975867 4 26 "GO:0000228" "nuclear chromosome" 0.487303537755575
-655 0.13575727440791 2 6 "GO:0000242" "pericentriolar material" 0.457927522629667
-146 0.761438731814951 2 5 "GO:0000329" "fungal-type vacuole membrane" 0.891632919120098
-899 0.0121893219518255 3 9 "GO:0000407" "pre-autophagosomal structure" 0.183652450740838
-78 0.848669692150226 3 7 "GO:0000421" "autophagic vacuole membrane" 0.942502950496074
-64 0.823427192453919 2 14 "GO:0000502" "proteasome complex" 0.937504007529399
-379 0.135597045643016 2 18 "GO:0000775" "chromosome, centromeric region" 0.457927522629667
-248 0.151263981334834 4 39 "GO:0000776" "kinetochore" 0.474800830301007
-6 0.981772491831771 2 20 "GO:0000777" "condensed chromosome kinetochore" 0.997216104062833
-335 0.410643172700033 4 7 "GO:0000779" "condensed chromosome, centromeric region" 0.721585067021152
-161 0.37630704565278 4 35 "GO:0000781" "chromosome, telomeric region" 0.699962076687476
-121 0.582590664485724 2 24 "GO:0000784" "nuclear chromosome, telomeric region" 0.802005796702427
9 0.941704892907505 2 81 "GO:0000785" "chromatin" 0.978407942803032
795 0.0142460057064136 4 11 "GO:0000786;GO:1990104" "nucleosome" 0.201224830603092
-53 0.733971528016747 2 49 "GO:0000790" "nuclear chromatin" 0.885579476490139
-228 0.503272635700712 2 10 "GO:0000791" "euchromatin" 0.752276812617008
-72 0.748826448832381 5 23 "GO:0000792;GO:0005720" "heterochromatin" 0.889973427627806
-289 0.269079903305759 5 17 "GO:0000794;GO:0000793" "condensed chromosome" 0.610085809926559
-646 0.141018971813901 2 6 "GO:0000796" "condensin complex" 0.464946996217423
407 0.316873097505302 4 7 "GO:0000803" "sex chromosome" 0.654002922705007
-180 0.682317497529819 2 6 "GO:0000812" "Swr1 complex" 0.856687524676328
-233 0.201664300890044 4 35 "GO:0000922" "spindle pole" 0.529955023269185
350 0.467406580419692 2 5 "GO:0000923" "equatorial microtubule organizing center" 0.743320175372029
511 0.179062649638938 4 8 "GO:0000930" "gamma-tubulin complex" 0.509033444256604
-172 0.366615704159058 4 32 "GO:0000932" "cytoplasmic mRNA processing body" 0.691715674839504
