"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
33 0.938260300100603 2 6 "GO:0000030" "mannosyltransferase activity" 0.985939589397911
-277 0.240441174560215 2 20 "GO:0000049" "tRNA binding" 0.638818950214064
294 0.532031343026343 3 5 "GO:0000062" "fatty-acyl-CoA binding" 0.814936898445113
-612 0.124192332908844 3 7 "GO:0000146" "microfilament motor activity" 0.548911150795578
-19 0.90203494896674 3 46 "GO:0000149" "SNARE binding" 0.982809958387878
326 0.488875786279512 3 5 "GO:0000182" "rDNA binding" 0.799338826297522
-718 0.127323495035218 3 5 "GO:0000217" "DNA secondary structure binding" 0.553747923838711
19 0.902158562468766 3 49 "GO:0000287" "magnesium ion binding" 0.982809958387878
-116 0.714369561912677 2 11 "GO:0000339" "RNA cap binding" 0.913857858688418
78 0.481956322506007 2 92 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.799338826297522
79 0.60251829980512 2 49 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.865652842648051
420 0.291772544843662 2 7 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.680461296766759
152 0.162903443964493 2 96 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.589506837846509
218 0.142656085704935 3 51 "GO:0000982;GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.565738860432585
-480 0.0688999939107525 3 16 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal transcription machinery binding" 0.448135914159888
325 0.30680814229536 3 11 "GO:0001046" "core promoter sequence-specific DNA binding" 0.685580238327516
55 0.798170197913534 2 24 "GO:0001047" "core promoter binding" 0.938567858218044
21 0.913574143184465 2 30 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.983391117620495
340 0.285069280376926 5 11 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.672783340237873
-73 0.728961174387888 2 25 "GO:0001085" "RNA polymerase II transcription factor binding" 0.915543003674272
34 0.90369758894345 3 14 "GO:0001103;GO:0070491" "repressing transcription factor binding" 0.982809958387878
37 0.887348946463961 2 16 "GO:0001104" "RNA polymerase II transcription cofactor activity" 0.982361453159911
233 0.588485818751437 2 6 "GO:0001106;GO:0001191" "RNA polymerase II transcription corepressor activity" 0.856113791600709
139 0.74740991395939 5 6 "GO:0001129;GO:0001132;GO:0001083" "TBP-class protein binding RNA polymerase II transcription factor activity" 0.917358643337625
321 0.238296572590133 4 15 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.638818950214064
107 0.45185614119904 2 56 "GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.799338826297522
-517 0.140764461039303 2 9 "GO:0001540" "beta-amyloid binding" 0.563090826303923
273 0.463129181920219 2 8 "GO:0001618" "virus receptor activity" 0.799338826297522
68 0.71767145493778 2 32 "GO:0001664" "G-protein coupled receptor binding" 0.913857858688418
-142 0.763841022999381 5 5 "GO:0001784" "phosphotyrosine binding" 0.923306789805097
-97 0.729780133181513 2 14 "GO:0001786" "phosphatidylserine binding" 0.915543003674272
105 0.640595707665837 2 22 "GO:0001948" "glycoprotein binding" 0.887332331910334
-323 0.170916165027866 4 20 "GO:0002020" "protease binding" 0.603417436287405
-580 0.0472578173709503 3 13 "GO:0002039" "p53 binding" 0.396783279538755
-284 0.509607508455451 2 6 "GO:0002151" "G-quadruplex RNA binding" 0.81182522917495
-788 0.0942131432075175 3 5 "GO:0002161" "aminoacyl-tRNA editing activity" 0.501444664870447
663 0.159443105788599 3 5 "GO:0002162" "dystroglycan binding" 0.589506837846509
201 0.433018959207705 3 17 "GO:0003678" "DNA helicase activity" 0.795930086924639
-125 0.177972629171189 2 134 "GO:0003682" "chromatin binding" 0.612163417681581
341 0.210290670676383 2 15 "GO:0003684" "damaged DNA binding" 0.633815498708296
60 0.784313582217443 3 23 "GO:0003690" "double-stranded DNA binding" 0.9359707868907
-286 0.294257367657926 3 15 "GO:0003697" "single-stranded DNA binding" 0.681500063495757
4 0.956310748544163 2 185 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.987726785200489
-54 0.871276247454649 3 10 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 0.975761986994665
1020 0.0176903584845369 3 6 "GO:0003707" "steroid hormone receptor activity" 0.332743125629485
-99 0.306697162780329 2 122 "GO:0003712;GO:0000989;GO:0000988" "protein binding transcription factor activity" 0.685580238327516
-168 0.235316110688865 3 56 "GO:0003713" "transcription coactivator activity" 0.638818950214064
-67 0.700406731788605 4 37 "GO:0003714" "transcription corepressor activity" 0.90494801784785
-603 0.200317653154479 2 5 "GO:0003725" "double-stranded RNA binding" 0.633394133109168
-110 0.658662434871957 5 18 "GO:0003727" "single-stranded RNA binding" 0.891041004184259
-270 0.0523273549686282 5 58 "GO:0003729;GO:0044822" "poly(A) RNA binding" 0.396783279538755
-193 0.477605414017098 3 15 "GO:0003730" "mRNA 3'-UTR binding" 0.799338826297522
274 0.0556412484329696 2 55 "GO:0003735" "structural constituent of ribosome" 0.412677243472696
-288 0.172146328700383 3 25 "GO:0003743" "translation initiation factor activity" 0.604077117075889
1150 0.0146057047057726 6 5 "GO:0003746" "translation elongation factor activity" 0.304883106369469
-167 0.553011274942079 4 14 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.831626287921589
1028 0.00979891164956944 4 7 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.257889538413668
-511 0.000133948382264067 2 63 "GO:0003774" "motor activity" 0.0387780566654474
-386 0.0124167280333927 3 47 "GO:0003777" "microtubule motor activity" 0.287571421253375
-173 0.140629979786155 2 82 "GO:0003779" "actin binding" 0.563090826303923
739 0.0856862940263763 3 6 "GO:0003887" "DNA-directed DNA polymerase activity" 0.477041963858383
-76 0.741926143318804 5 21 "GO:0003899;GO:0034062" "RNA polymerase activity" 0.917358643337625
107 0.803911380438034 2 6 "GO:0003910;GO:0003909;GO:0016886" "ligase activity, forming phosphoric ester bonds" 0.940332705603276
-56 0.724437923664817 2 44 "GO:0003924" "GTPase activity" 0.915543003674272
-90 0.820822995486721 2 7 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.952417864502628
