Gene_id	GO terms
ofav141339	GO:0000790;GO:0031491;GO:0003714;GO:0016569;GO:0006336;GO:0031935;GO:0006351
ofav71425	GO:0005783;GO:0005524;GO:0016887;GO:0046872;GO:0006810
ofav58561	GO:0031461;GO:0005737;GO:0005634;GO:0031625;GO:0031145;GO:0008595;GO:0008105;GO:0030261;GO:0042078;GO:0019100;GO:0019102;GO:0051232;GO:0007067;GO:1902104;GO:0042787;GO:0051759;GO:0036369
ofav60863	GO:0005737;GO:0002161;GO:0005524;GO:0004832;GO:0006438
ofav51466	GO:0005829;GO:0005634;GO:0005685;GO:0071004;GO:0003729;GO:0000395;GO:0045292;GO:0006376
ofav36231	GO:0016021;GO:0043231;GO:0042470;GO:0033162;GO:0048471;GO:0005507;GO:0004503;GO:0008283;GO:0042438;GO:0043473;GO:0048538
ofav29756	GO:0005783;GO:0005789;GO:0016021;GO:0004842;GO:0008270;GO:0016567
ofav54788	GO:0042555;GO:0016020;GO:0000784;GO:0005654;GO:0005634;GO:0005524;GO:0003678;GO:0003697;GO:0006260;GO:0006270;GO:0006268;GO:0000082
ofav39702	GO:0005737;GO:1990247;GO:0043022;GO:0003723;GO:0045948
ofav38715	GO:0005829;GO:0005783;GO:0070062;GO:0042405;GO:0005654;GO:0000151;GO:0030018;GO:0042803;GO:1904264;GO:0004842;GO:0034450;GO:0071218;GO:0006281;GO:0030968;GO:0006515;GO:0032091;GO:0030512;GO:0090035;GO:0032436;GO:0051443;GO:0043161;GO:0051865;GO:0070534;GO:0000209;GO:0042787;GO:0031943;GO:0031647;GO:0006511;GO:0030579
ofav39767	GO:0005813;GO:0010008;GO:0005871;GO:0005874;GO:0030496;GO:0032588;GO:0005524;GO:0016887;GO:0003777;GO:0035459;GO:0000910;GO:0008333;GO:0043001;GO:0006886;GO:0032438;GO:0072383
ofav125426	GO:0009941;GO:0016021;GO:0016020;GO:0005743;GO:0005739;GO:0005471;GO:0015865;GO:0046902
