Gene_id	Description
ofav141339	Protein HIRA OS=Gallus gallus GN=HIRA PE=1 SV=2 E(blastx)=7e-34
ofav71425	ATPase ASNA1 homolog OS=Nematostella vectensis GN=v1g161623 PE=3 SV=1 E(blastx)=5e-108
ofav58561	Cullin-2 OS=Caenorhabditis elegans GN=cul-2 PE=1 SV=3 E(blastx)=3e-166
ofav60863	Valine--tRNA ligase OS=Takifugu rubripes GN=vars PE=3 SV=1 E(blastx)=7e-147
ofav51466	U1 snRNP-associated protein usp106 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=usp106 PE=1 SV=1 E(blastx)=9e-20
ofav36231	Tyrosinase OS=Gallus gallus GN=TYR PE=2 SV=1 E(blastx)=3e-118
ofav29756	E3 ubiquitin-protein ligase RNF103 OS=Rattus norvegicus GN=Rnf103 PE=2 SV=1 E(blastx)=1e-07
ofav54788	DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5 E(blastx)=3e-22
ofav39702	YTH domain-containing family protein 1 OS=Mus musculus GN=Ythdf1 PE=1 SV=1 E(blastx)=4e-89
ofav38715	STIP1 homology and U box-containing protein 1 OS=Gallus gallus GN=STUB1 PE=2 SV=1 E(blastx)=3e-49
ofav39767	Kinesin-like protein KIF13A OS=Mus musculus GN=Kif13a PE=1 SV=1 E(blastx)=4e-83
ofav125426	ADP,ATP carrier protein 3, mitochondrial OS=Arabidopsis thaliana GN=AAC3 PE=1 SV=1 E(blastx)=9e-31
ofav44765	Ephrin-B2 OS=Homo sapiens GN=EFNB2 PE=1 SV=1 E(blastx)=2e-09
ofav72943	Protein phosphatase 1 regulatory subunit 27 OS=Mus musculus GN=Ppp1r27 PE=2 SV=1 E(blastx)=6e-13
ofav147431	WD repeat-containing protein 35 OS=Mus musculus GN=Wdr35 PE=1 SV=3 E(blastx)=1e-39
ofav89414	Ubiquitin carboxyl-terminal hydrolase 36 OS=Mus musculus GN=Usp36 PE=1 SV=1 E(blastx)=6e-34
ofav123093	WD repeat domain phosphoinositide-interacting protein 4 OS=Homo sapiens GN=WDR45 PE=2 SV=1 E(blastx)=1e-24
ofav50381	Lysosomal Pro-X carboxypeptidase OS=Homo sapiens GN=PRCP PE=1 SV=1 E(blastx)=9e-47
